"","taste","acetic","person"
"1","Not Acceptable",4.543,"Child"
"2","Not Acceptable",5.159,"Child"
"3","Acceptable",5.366,"Adult"
"4","Acceptable",5.759,"Adult"
"5","Not Acceptable",4.663,"Adult"
"6","Not Acceptable",5.697,"Child"
"7","Acceptable",5.892,"Adult"
"8","Not Acceptable",6.078,"Child"
"9","Not Acceptable",4.898,"Child"
"10","Not Acceptable",5.242,"Child"
"11","Not Acceptable",5.74,"Adult"
"12","Acceptable",6.446,"Adult"
"13","Not Acceptable",4.477,"Child"
"14","Not Acceptable",5.236,"Adult"
"15","Acceptable",6.151,"Adult"
"16","Acceptable",6.365,"Child"
"17","Not Acceptable",4.787,"Child"
"18","Not Acceptable",5.412,"Child"
"19","Not Acceptable",5.247,"Adult"
"20","Acceptable",5.438,"Adult"
"21","Not Acceptable",4.564,"Adult"
"22","Not Acceptable",5.298,"Child"
"23","Not Acceptable",5.455,"Adult"
"24","Acceptable",5.855,"Adult"
"25","Not Acceptable",5.366,"Child"
"26","Not Acceptable",6.043,"Child"
"27","Not Acceptable",6.458,"Adult"
"28","Not Acceptable",5.328,"Child"
"29","Not Acceptable",5.802,"Child"
"30","Not Acceptable",6.176,"Child"
